3308;0;2,64;4,32;,5;,58;,5;,47;,73;,55;-,008;,008;0;;;2,62;2,64
3298;1;2,62;,65;,55;,6;,51;,49;,75;,55;,008;,008;-,069;1,01;,97;2,62;2,64
3218;1;2,62;3,58;,5;,6;,5;,41;,75;,55;-,004;,015;-,046;1,66;1,11;2,62;2,64
3213;0;2,64;5;,5;,58;,49;,42;,74;,54;0;,004;-,076;1;,91;2,62;2,64
3132;1;2,62;14,84;,55;,58;,5;,44;,73;,54;0;,015;-,069;,93;2,05;2,6;2,64
3127;1;2,6;2,46;,55;,58;,49;,39;,72;,53;,015;,023;-,069;1,45;,52;2,6;2,62
3121;0;2,62;5,31;,5;,56;,48;,33;,72;,52;,008;,015;-,027;1;1,07;2,6;2,62
2996;1;2,6;15,82;,55;,58;,49;,61;,73;,53;,015;,015;-,077;1,98;1,49;2,6;2,62
2992;1;2,6;8,26;,5;,56;,48;,59;,7;,52;,019;,015;-,077;1,09;,69;2,58;2,62
2857;1;2,56;1,85;,45;,56;,47;,56;,71;,52;,023;,023;-,023;,22;,86;2,54;2,58
2827;0;2,56;,15;,4;,54;,47;,54;,67;,52;,016;,023;-,023;,83;,96;2,54;2,58
2807;1;2,54;8;,45;,54;,48;,59;,66;,52;,024;,024;,071;1,02;,86;2,52;2,58
2645;0;2,56;3,05;,4;,54;,48;,57;,67;,52;,016;,016;-,07;,77;1,14;2,54;2,56
2478;0;2,56;10;,45;,56;,49;,65;,68;,52;,023;,023;-,047;1,53;,86;2,54;2,56
2371;1;2,53;5;,5;,56;,5;,72;,67;,53;,043;,028;-,036;,87;1,16;2,52;2,56
2364;1;2,52;1,14;,5;,54;,5;,72;,65;,54;,056;,04;-,04;1;1,49;2,5;2,52
2357;0;2,52;4,86;,45;,52;,5;,72;,65;,54;,048;,032;-,04;1,2;,54;2,5;2,56
2314;0;2,52;3;,45;,52;,5;,72;,65;,54;,044;,04;-,016;,97;1,47;2,5;2,52
2278;0;2,52;28,1;,5;,52;,5;,73;,65;,54;,04;,04;-,008;,28;1,07;2,52;2,56
2243;0;2,56;6;,55;,54;,51;,8;,68;,55;,023;,023;-,023;2,28;1,09;2,5;2,56
2236;1;2,56;2;,6;,56;,51;,82;,69;,55;,031;,016;-,023;,45;1,48;2,56;2,58
2236;0;2,56;23,33;,55;,56;,51;,81;,71;,55;,023;,023;-,031;,99;,8;2,56;2,58
2235;1;2,56;5;,6;,56;,51;,87;,66;,55;,023;,023;-,023;1,11;1,62;2,56;2,58
2234;1;2,52;2;,6;,54;,5;,88;,65;,55;,048;,04;-,008;1,67;1;2,52;2,58
