32541;1;2,26;2;,45;,42;,48;,42;,27;,42;0;-,009;-,004;;;2,26;2,34
32437;1;2,26;2;,4;,42;,47;,39;,28;,41;0;-,027;-,027;1,05;1;2,26;2,34
32023;1;2,26;37,54;,35;,4;,47;,36;,27;,42;-,009;-,027;-,027;2,12;1;2,24;2,34
32022;0;2,22;1,87;,35;,38;,46;,3;,22;,4;0;-,009;-,009;,21;1;2,2;2,34
32022;1;2,23;5,86;,35;,4;,46;,27;,23;,39;-,004;-,04;-,013;2,23;1,06;2,2;2,34
32012;0;2,26;3;,35;,4;,46;,29;,23;,4;-,018;-,053;-,009;,37;,88;2,24;2,32
31836;0;2,3;4;,35;,42;,46;,29;,23;,4;-,078;-,043;-,043;1,84;1,1;2,26;2,32
31756;1;2,26;1,51;,4;,42;,47;,31;,23;,4;-,018;-,018;-,027;,96;1;2,26;2,32
31496;1;2,26;4,55;,35;,4;,46;,3;,22;,4;-,027;0;-,027;,63;1;2,26;2,32
31495;0;2,32;2;,3;,38;,45;,27;,2;,38;-,052;-,043;-,06;1;1,01;2,26;2,32
31372;1;2,26;11,42;,35;,4;,45;,28;,21;,37;,009;-,027;-,035;,99;,51;2,24;2,26
31361;0;2,26;62,02;,3;,38;,45;,25;,19;,37;,009;,009;-,035;,94;1,3;2,24;2,26
31344;0;2,26;5,7;,3;,38;,45;,31;,21;,39;,009;,035;-,027;1;1,03;2,24;2,26
31322;0;2,26;6,02;,35;,4;,45;,33;,22;,39;-,018;,044;-,018;,77;1,03;2,24;2,26
31316;0;2,26;10,37;,4;,42;,46;,35;,24;,4;,018;,035;,018;1;1,06;2,24;2,26
31314;0;2,26;25,05;,45;,44;,46;,38;,24;,4;-,009;,035;-,027;1;1,16;2,24;2,26
31311;1;2,24;28,42;,45;,46;,46;,42;,26;,41;0;,036;-,009;1,24;1;2,24;2,26
31310;0;2,26;9,4;,4;,44;,45;,18;,21;,39;-,009;,018;-,009;,88;1,01;2,24;2,34
31223;0;2,34;7;,4;,46;,46;,17;,23;,4;-,043;-,017;-,043;1,14;1,03;2,28;2,34
31195;1;2,3;7,5;,4;,48;,47;,17;,24;,42;0;-,009;-,026;1,22;1;2,3;2,34
31193;0;2,34;17,52;,35;,46;,47;,14;,23;,42;-,034;-,034;-,043;1;1,13;2,3;2,34
31191;0;2,34;16,83;,35;,48;,47;,14;,26;,42;-,034;-,043;-,043;1,07;1,14;2,3;2,34
31189;1;2,32;3,38;,4;,48;,48;,17;,27;,44;-,026;-,034;-,034;1,08;1;2,3;2,32
31187;1;2,3;15,1;,4;,46;,47;,18;,26;,44;-,035;,009;-,026;,83;4,28;2,28;2,3
31179;0;2,3;3,31;,4;,44;,46;,15;,23;,42;-,03;-,017;-,026;,98;1,13;2,28;2,3
31129;0;2,3;3,59;,4;,46;,47;,14;,4;,42;-,017;-,017;-,026;1,01;,21;2,28;2,32
31102;1;2,28;5;,4;,46;,48;,14;,38;,46;,009;,018;-,018;1,05;1;2,28;2,32
31037;0;2,3;10;,35;,46;,47;,11;,38;,46;-,017;-,017;-,026;1;5,24;2,28;2,32
31034;0;2,32;10,8;,35;,48;,47;,1;,39;,45;-,026;-,026;-,034;2,39;,11;2,32;2,34
31001;1;2,32;2,68;,4;,48;,47;,13;,39;,39;0;-,026;-,034;,48;1,86;2,3;2,32
30999;0;2,32;2,32;,4;,48;,46;,13;,39;,39;-,026;-,026;-,034;1;,54;2,3;2,34
30989;0;2,34;10,65;,45;,5;,46;,15;,4;,36;-,034;-,034;-,043;,93;,94;2,3;2,36
