18275;0;1,96;5;,6;,7;,64;,87;,9;,77;-,046;-,107;-,077;;;1,87;1,96
18001;0;1,96;3;,65;,72;,65;,9;,91;,77;-,061;-,122;-,071;,97;,82;1,89;1,96
17910;1;1,83;89,56;,7;,74;,65;,92;,92;,77;,027;-,06;-,005;,98;,84;1,82;1,98
17909;0;1,83;,11;,7;,72;,64;,88;,89;,75;,033;-,066;-,049;1;1;1,82;1,98
17848;0;1,97;5,15;,7;,72;,65;,86;,89;,75;-,041;-,107;-,122;,64;1,36;1,85;1,97
17143;1;1,9;10;,75;,72;,65;,9;,9;,75;-,011;-,074;-,074;1,55;1,08;1,9;1,97
17111;0;1,97;5,29;,75;,72;,65;,91;,89;,75;-,041;-,107;-,117;,79;1,12;1,9;1,97
17108;1;1,9;10,01;,8;,72;,66;,94;,9;,76;-,005;-,084;-,047;1,8;,8;1,9;1,97
17106;1;1,89;10,03;,8;,7;,65;,94;,89;,75;,005;-,074;-,042;1,15;,5;1,87;1,9
17087;0;1,89;,1;,8;,68;,64;,94;,87;,75;,016;-,079;-,053;,08;1;1,87;1,89
17071;0;1,89;7;,85;,68;,64;,95;,85;,75;,016;-,079;-,042;7,42;1,17;1,87;1,89
17057;0;1,89;1,6;,9;,7;,65;,98;,87;,76;,021;-,085;-,042;1;,86;1,87;1,89
17050;1;1,87;2;,95;,7;,65;,98;,85;,75;,032;-,07;-,032;,12;1;1,84;1,89
17020;1;1,85;3;,95;,68;,64;,98;,84;,75;,027;-,059;-,022;1;1;1,84;1,89
16972;1;1,83;10;,95;,68;,63;,99;,84;,75;,038;-,049;-,016;,8;1,21;1,83;1,89
16951;1;1,84;10,01;,95;,68;,63;,98;,84;,75;,06;-,049;-,016;1,17;1;1,84;1,89
16936;1;1,84;10;,95;,68;,63;,98;,85;,75;,049;-,043;-,054;1,06;1;1,84;1,89
16922;1;1,83;10;,9;,68;,62;,97;,85;,74;,055;-,038;-,071;,79;1;1,83;1,89
16887;1;1,83;10,01;,9;,68;,61;,97;,85;,74;-,027;-,038;-,055;1,05;1;1,83;1,89
16867;1;1,83;10;,9;,66;,6;,97;,84;,74;,077;-,055;-,055;1;1;1,83;1,89
16838;1;1,82;20;,9;,66;,6;,97;,84;,73;,077;-,027;-,049;1,09;1;1,82;1,89
16820;1;1,83;10,01;,9;,66;,6;,97;,84;,73;,071;-,038;-,055;1;1;1,82;1,89
16796;1;1,82;20;,85;,66;,6;,95;,84;,73;,005;-,033;-,049;1,11;1;1,82;1,89
16785;0;1,89;4,2;,8;,66;,59;,94;,83;,72;-,032;-,063;-,079;1;,86;1,83;1,9
16771;1;1,82;20;,85;,68;,6;,96;,84;,73;,082;-,038;-,011;1,09;1,02;1,82;1,9
16756;1;1,82;20;,85;,68;,6;,95;,84;,73;,044;-,038;-,011;1,16;1;1,82;1,9
16687;1;1,82;20,01;,8;,68;,6;,94;,84;,72;,082;-,027;-,011;1,1;1;1,82;1,9
16668;1;1,82;20;,75;,68;,6;,91;,83;,71;,044;-,011;-,016;1,21;1;1,82;1,9
16650;1;1,82;20;,7;,68;,59;,87;,83;,71;,038;,033;-,011;1,27;1;1,82;1,9
16626;1;1,82;20;,7;,68;,58;,87;,83;,7;,038;0;-,011;1,22;,9;1,82;1,89
16560;1;1,81;6;,7;,66;,58;,86;,81;,69;,044;,033;-,006;1,09;,84;1,8;1,89
16539;1;1,81;4;,7;,66;,57;,86;,81;,69;,044;,017;-,011;,99;,95;1,8;1,89
16529;1;1,87;1,52;,7;,66;,57;,86;,82;,69;0;,005;-,059;1;1;1,8;1,89
16384;1;1,81;34,53;,65;,64;,57;,85;,82;,69;,022;,044;-,033;,53;,78;1,81;1,87
16131;1;1,83;5;,6;,62;,56;,79;,75;,67;0;,033;-,027;1,02;1,01;1,82;1,86
15783;1;1,83;2;,55;,6;,56;,77;,75;,67;,005;,027;-,022;1;1,21;1,82;1,86
15748;0;1,86;2,33;,55;,6;,56;,76;,77;,67;-,011;,016;-,032;1,79;,99;1,83;1,87
15736;1;1,83;3;,55;,6;,56;,78;,78;,67;0;,033;-,022;,43;,83;1,82;1,86
15729;1;1,82;10,01;,5;,6;,56;,73;,78;,67;,005;,044;-,011;1,04;1;1,82;1,86
