17380;1;2,31;3,92;,4;,4;,36;,44;,45;,28;,039;,03;-,013;;;2,38;2,42
17374;1;2,37;20;,4;,38;,35;,48;,4;,27;,013;-,004;-,038;,89;1;2,36;2,42
17280;0;2,4;2;,4;,36;,35;,44;,35;,27;0;-,017;-,05;1,38;1,15;2,4;2,42
17276;0;2,42;9,6;,45;,36;,35;,47;,34;,23;-,008;-,025;-,058;,87;1,1;2,4;2,42
17247;0;2,42;2;,45;,36;,36;,46;,34;,23;-,017;-,017;-,058;1;,47;2,4;2,44
17093;0;2,44;11;,5;,36;,36;,48;,33;,23;-,025;-,016;-,066;,74;,98;2,4;2,44
17088;1;2,42;7,57;,5;,36;,36;,48;,32;,23;-,017;-,017;-,05;1;1,77;2,4;2,42
17079;0;2,42;6,09;,45;,34;,35;,44;,31;,22;-,008;-,017;-,058;,94;,53;2,42;2,44
16899;0;2,44;11;,5;,34;,36;,47;,31;,22;-,025;-,025;-,066;,92;1,06;2,42;2,44
16827;1;2,42;,89;,55;,34;,37;,5;,31;,23;-,017;-,017;-,05;,95;1;2,42;2,44
16720;1;2,42;7;,5;,32;,37;,5;,31;,23;-,017;-,012;-,025;1,04;1;2,42;2,44
16719;0;2,44;10;,45;,3;,37;,47;,28;,23;-,025;-,016;-,049;1;1,05;2,42;2,44
16174;0;2,44;8,49;,5;,3;,37;,57;,29;,23;-,025;-,025;-,041;,92;,58;2,42;2,46
16144;1;2,42;8,94;,55;,32;,37;,61;,29;,23;-,017;-,017;-,033;1,04;1;2,42;2,46
16117;0;2,46;8;,55;,3;,37;,61;,28;,23;-,033;-,033;-,041;1;1,03;2,42;2,46
15930;0;2,46;5;,55;,32;,37;,6;,29;,23;-,033;-,033;-,041;1;1,02;2,42;2,46
15904;1;2,42;3;,6;,34;,38;,74;,3;,23;-,025;-,008;-,025;1,02;1;2,42;2,46
15804;1;2,42;28,44;,6;,32;,37;,74;,3;,23;-,004;-,021;-,025;1,2;1;2,42;2,46
15751;0;2,46;26,57;,55;,3;,37;,7;,27;,22;-,008;-,033;-,041;1,28;1,09;2,42;2,46
15689;0;2,46;6;,55;,32;,38;,69;,3;,22;,02;-,033;-,041;1;1,02;2,42;2,46
15594;1;2,41;22,34;,55;,32;,39;,64;,3;,25;-,041;-,012;-,029;,93;1;2,4;2,46
15080;1;2,4;3,95;,55;,3;,39;,61;,26;,24;-,012;-,008;-,017;1,13;2;2,4;2,44
15012;0;2,4;11,95;,45;,26;,38;,57;,24;,24;0;-,008;-,017;1,06;1;2,4;2,44
15012;1;2,4;8,05;,5;,28;,39;,6;,25;,25;,008;0;-,008;,71;2,99;2,38;2,4
15011;1;2,39;5;,45;,26;,38;,57;,25;,24;,013;,004;-,004;,99;,33;2,38;2,44
14850;0;2,42;12;,4;,24;,38;,53;,24;,24;,008;-,008;-,008;1,4;1,59;2,4;2,42
14844;0;2,42;7;,4;,24;,39;,52;,24;,26;0;0;-,008;1;1,09;2,4;2,42
14829;1;2,4;6,6;,4;,24;,39;,53;,23;,26;,008;,017;-,008;1,03;1;2,38;2,42
14606;1;2,4;2;,35;,22;,39;,49;,22;,27;,017;,008;-,008;,71;,51;2,38;2,4
14605;0;2,4;2;,3;,22;,39;,42;,22;,27;,008;0;-,008;1;1,01;2,38;2,4
14489;0;2,4;2,3;,3;,24;,4;,36;,23;,28;,008;0;-,008;,9;1,01;2,38;2,4
14461;1;2,38;29,38;,3;,24;,4;,36;,23;,28;,025;,008;,008;1,24;1,01;2,38;2,4
14460;1;2,38;11,06;,25;,24;,39;,27;,2;,26;,025;,008;,008;1,1;1;2,38;2,4
14420;1;2,38;4;,2;,24;,39;,23;,2;,26;,017;,008;0;,96;1,12;2,36;2,38
14370;0;2,38;9,75;,15;,24;,38;,22;,2;,25;,034;0;-,008;,66;,9;2,38;2,4
14332;1;2,38;93,7;,15;,24;,39;,21;,21;,26;,034;0;-,008;1,06;1,93;2,36;2,42
14331;1;2,38;,91;,1;,22;,39;,01;,1;,21;,017;0;-,008;,9;1;2,36;2,42
14253;0;2,4;1,96;,05;,22;,39;,01;,11;,21;,008;0;-,008;1,62;1;2,38;2,42
14218;0;2,42;29,5;,05;,22;,4;0;,11;,22;,017;-,017;-,017;,93;1,6;2,38;2,42
14197;0;2,44;29,28;,05;,24;,41;,01;,11;,3;,008;-,025;-,033;1,9;,17;2,4;2,46
14196;1;2,42;2;,05;,26;,41;,01;,12;,3;-,004;-,017;-,017;1,41;2,14;2,4;2,44
14195;0;2,44;2;0;,26;,4;0;,12;,3;-,016;-,025;-,025;1;1,01;2,4;2,44
14107;0;2,44;11,2;0;,28;,41;0;,12;,3;-,016;-,025;-,025;1;1,06;2,4;2,44
14086;0;2,45;11,45;,05;,3;,42;,01;,13;,31;-,02;-,029;-,029;1,4;,44;2,42;2,46
14074;0;2,46;13,05;,05;,3;,43;,01;,12;,31;-,028;-,033;-,033;,74;,98;2,42;2,46
13923;0;2,46;16;,1;,3;,44;,01;,13;,31;-,016;-,033;-,033;1,18;1,06;2,42;2,46
13922;0;2,46;4,76;,15;,3;,45;,06;,13;,32;-,016;-,041;-,041;,71;,66;2,46;2,48
13918;0;2,48;17,58;,15;,3;,46;,06;,12;,33;-,032;-,028;-,04;,92;1,04;2,46;2,48
13894;0;2,48;43,83;,15;,3;,47;,06;,12;,33;-,032;-,016;-,04;1;1,87;2,46;2,48
13731;0;2,49;60,59;,2;,32;,47;,12;,14;,34;-,036;,008;-,044;,4;1,03;2,48;2,5
13712;0;2,5;2;,2;,32;,48;,14;,15;,36;-,04;-,076;-,048;1;1,26;2,48;2,5
13675;0;2,5;51,02;,2;,32;,48;,12;,15;,35;-,048;-,052;-,056;1;1,43;2,48;2,5
13645;0;2,5;41,88;,2;,34;,49;,13;,16;,37;-,048;-,04;-,056;1;1,55;2,48;2,5
13589;0;2,5;4,8;,2;,34;,49;,15;,13;,38;-,048;-,032;-,056;1;1,07;2,48;2,5
13552;0;2,5;13;,2;,36;,5;,16;,13;,4;-,048;-,032;-,048;1;1,22;2,48;2,5
13551;0;2,5;41,56;,2;,36;,5;,16;,13;,39;-,048;-,024;-,04;1;,81;2,48;2,54
13550;0;2,5;,01;,2;,36;,51;,19;,13;,4;-,048;-,032;-,048;1;1;2,48;2,54
13378;0;2,55;8,83;,2;,36;,51;,14;,13;,4;-,059;-,051;-,067;1,75;,2;2,54;2,6
13286;0;2,56;8,37;,2;,38;,52;,14;,14;,41;-,055;-,047;-,07;1,22;,82;2,56;2,6
13226;0;2,6;15,19;,25;,4;,53;,15;,14;,42;-,062;-,069;-,085;1,14;7,54;2,58;2,6
13190;0;2,6;39,77;,3;,42;,54;,2;,15;,42;-,069;-,069;-,081;2,91;,15;2,58;2,7
13189;0;2,6;,04;,3;,44;,54;,22;,17;,43;-,062;-,062;-,077;1;1;2,58;2,7
13186;1;2,58;2;,35;,44;,54;,23;,16;,43;-,054;-,054;-,078;,32;1,23;2,52;2,68
13000;0;2,64;9;,35;,42;,54;,25;,16;,43;-,072;-,083;-,098;1,93;,98;2,54;2,66
12997;1;2,54;2;,4;,44;,55;,28;,17;,43;-,031;-,031;-,063;,71;1;2,54;2,66
12990;1;2,54;18,44;,35;,42;,55;,27;,16;,43;-,031;-,031;-,063;,6;11,24;2,52;2,54
12990;0;2,54;1,56;,3;,42;,55;,21;,15;,43;-,031;-,047;-,055;1,88;,09;2,54;2,66
12951;0;2,64;3;,35;,42;,56;,22;,15;,43;-,061;-,083;-,102;,45;11,46;2,52;2,66
12925;1;2,64;17,86;,35;,44;,57;,22;,16;,43;-,061;-,068;-,098;,87;,09;2,64;2,66
12912;0;2,66;16,7;,35;,44;,57;,17;,14;,42;-,064;-,075;-,105;1,19;,82;2,66;2,7
12902;0;2,7;54,44;,4;,46;,58;,19;,2;,43;-,074;-,107;-,119;1,33;1,3;2,62;2,68
