20877;0;2,88;5,38;,35;,48;,44;,43;,55;,35;0;,024;,111;;;2,84;3
20877;1;2,88;19,99;,4;,48;,44;,47;,56;,36;0;,017;,111;1,05;1,08;2,82;2,98
20869;0;2,86;9,45;,3;,46;,44;,36;,55;,35;,01;,021;,119;1;1,92;2,82;2,86
20869;1;2,86;3;,35;,48;,45;,38;,55;,35;-,017;,042;,119;1;,74;2,82;2,86
20868;1;2,82;20;,35;,48;,45;,41;,56;,35;0;,064;,135;1,61;1,36;2,82;2,86
20867;0;2,82;20;,35;,48;,44;,42;,56;,35;0;,043;,117;,61;,89;2,8;2,86
20865;0;2,86;1,13;,35;,48;,45;,42;,56;,36;-,014;,021;,084;,94;1,04;2,8;2,86
20772;0;2,86;6,42;,35;,48;,45;,41;,56;,36;,007;,028;,101;2,76;,48;2,86;2,88
20547;0;2,88;2;,4;,48;,46;,43;,46;,36;-,021;,021;,076;,47;,55;2,86;2,88
20505;0;2,88;19,89;,45;,5;,47;,45;,47;,36;,007;,021;,076;,74;,96;2,88;2,98
20409;1;2,88;6,2;,5;,52;,48;,48;,48;,37;,007;,021;,076;1,7;2,02;2,86;2,88
20395;1;2,86;23,8;,5;,5;,48;,51;,45;,37;,014;,021;,084;1,74;,62;2,86;2,9
20233;0;2,92;2;,5;,48;,48;,51;,44;,36;,007;-,007;,062;,62;,96;2,92;2,94
20224;0;2,94;2;,55;,48;,49;,52;,44;,37;0;-,041;,054;1;,8;2,94;2,96
20191;1;2,93;2;,6;,48;,49;,7;,49;,39;,01;-,024;,041;,86;,53;2,88;2,9
20191;0;2,9;123;,6;,48;,49;,53;,43;,37;,021;-,014;,069;1;1,83;2,88;2,96
20131;1;2,92;84;,55;,48;,48;,68;,49;,39;,027;-,021;,062;,55;1,11;2,92;2,96
20131;0;2,96;3;,55;,46;,48;,6;,43;,36;,03;-,034;,047;1;,69;2,92;3
20130;1;2,92;16;,55;,48;,48;,52;,44;,36;,027;-,007;,079;1,06;,82;2,9;2,92
20128;0;2,92;3;,55;,46;,48;,5;,41;,36;,027;-,007;,096;1,09;1,02;2,88;2,92
20127;0;2,92;6,6;,55;,46;,49;,51;,34;,37;-,014;-,007;,079;1,03;1,04;2,88;2,92
