25589;1;2,2;2,5;,6;,6;,48;,6;,82;,73;-,068;-,073;-,1;;;2,2;2,28
25268;1;2,24;100,01;,6;,6;,47;,6;,82;,73;-,071;-,089;-,062;1;,84;2,2;2,3
25265;1;2,2;3,06;,6;,6;,46;,44;,81;,71;-,082;-,073;-,105;1,31;1,19;2,18;2,28
25073;1;2,26;8,63;,55;,6;,46;,41;,81;,71;-,088;-,106;-,124;,3;,84;2,26;2,3
24841;1;2,26;,77;,55;,6;,45;,42;,81;,71;-,08;-,106;-,128;,87;1,19;2,26;2,3
24294;1;2,06;,43;,55;,6;,45;,41;,81;,71;,01;-,01;-,073;1;1;2,26;2,3
23313;0;2,3;34,68;,5;,6;,44;,41;,81;,71;-,096;-,113;-,057;,93;1,02;2,3;2,32
23312;1;2,3;25,31;,5;,62;,44;,32;,83;,72;-,096;-,113;-,161;1,07;1,04;2,26;2,32
23138;0;2,34;1,82;,5;,62;,44;,67;,83;,72;-,103;-,128;-,162;1;,52;2,26;2,34
23135;0;2,28;20;,5;,64;,45;,67;,83;,72;-,079;-,105;-,14;1;1,61;2,26;2,34
22855;1;2,3;16,02;,5;,66;,45;,68;,85;,73;-,087;-,113;-,148;,46;,61;2,28;2,34
22624;0;2,32;18;,5;,66;,44;,68;,85;,72;-,095;-,121;-,168;,94;1,92;2,28;2,34
22329;0;2,33;2,32;,55;,66;,44;,71;,85;,73;-,099;-,116;-,159;1;1,02;2,28;2,34
21930;1;2,3;5;,6;,66;,45;,71;,85;,73;-,087;-,104;-,157;,99;1;2,3;2,34
21542;1;2,3;2;,6;,66;,44;,71;,85;,73;-,087;-,113;-,165;1,01;1;2,3;2,34
21292;0;2,34;12;,6;,64;,43;,73;,84;,72;-,103;-,12;-,184;1;1,1;2,3;2,34
21276;0;2,34;12;,6;,64;,44;,74;,84;,73;-,06;-,137;-,184;1;1,11;2,3;2,34
21247;0;2,34;8;,65;,66;,45;,83;,85;,73;-,06;-,137;-,184;1;1,08;2,3;2,34
20572;1;2,3;1,99;,65;,68;,46;,83;,87;,74;-,017;-,122;-,17;1,01;,51;2,3;2,34
20384;1;2,3;,43;,6;,68;,46;,83;,87;,74;-,017;-,152;-,157;1;,92;2,3;2,34
18309;1;2,3;2,99;,55;,66;,45;,81;,86;,73;-,043;-,104;-,165;1,01;1;2,3;2,34
17975;1;2,3;19,96;,55;,64;,44;,81;,86;,73;-,026;-,104;-,161;1,01;1;2,28;2,34
17691;0;2,3;10,02;,5;,62;,43;,81;,86;,73;-,043;-,087;-,157;,94;1,98;2,28;2,32
17146;1;2,28;10;,5;,62;,44;,82;,86;,74;-,009;-,079;-,149;1,03;,82;2,28;2,34
17094;1;2,05;,12;,5;,6;,44;,82;,86;,74;,102;,015;-,059;1;1;2,28;2,34
16320;0;2,34;2;,45;,6;,44;,81;,86;,74;-,12;-,111;-,171;1;1,02;2,28;2,34
14584;1;2,27;302,75;,55;,62;,44;,96;,92;,77;,013;-,084;-,15;9,62;,22;2,18;2,26
14584;0;2,26;91,9;,5;,6;,44;,85;,86;,74;,018;-,071;-,142;1;1,17;2,18;2,26
13887;0;2,3;2;,55;,6;,44;,94;,9;,72;,017;-,104;-,157;,61;7,34;2,2;2,3
13290;0;2,32;10;,6;,6;,44;,94;,9;,72;-,017;-,121;-,159;,96;,67;2,24;2,32
13290;1;2,3;5,04;,65;,6;,44;,96;,9;,73;0;-,109;-,152;1;1;2,24;2,32
13277;1;2,22;10,43;,65;,58;,43;,96;,9;,72;,045;-,063;-,113;1,62;,95;2,22;2,32
13230;1;2,26;10,02;,65;,56;,42;,96;,9;,62;,031;-,106;-,124;1,09;,96;2,26;2,32
13229;1;2,26;1,87;,65;,54;,42;,96;,89;,62;,018;-,088;-,124;,83;1;2,22;2,32
13219;1;2,21;27,12;,65;,52;,41;,96;,89;,61;,041;-,059;-,104;,16;,13;2,14;2,2
13216;0;2,18;2,43;,65;,5;,4;,96;,88;,61;,073;-,046;-,092;1;1,01;2,14;2,18
12625;1;2,18;228,21;,7;,5;,4;,96;,87;,61;,073;-,046;-,087;16,05;1,23;2,14;2,18
12624;0;2,16;6,01;,7;,48;,39;,94;,81;,54;,083;-,037;-,074;,74;1,01;2,14;2,18
12617;0;2,16;2;,75;,48;,39;,95;,79;,54;,065;-,028;-,074;,08;,95;2,14;2,16
12616;0;2,16;14,9;,8;,48;,4;,96;,79;,55;,065;-,028;-,106;1;10,3;2,14;2,16
12605;0;2,16;,5;,85;,46;,39;,99;,79;,54;,065;-,028;-,102;1,98;,87;2,14;2,32
12605;1;2,14;3;,85;,48;,4;,99;,79;,55;,075;-,019;-,065;1;1;2,14;2,32
12595;0;2,32;,93;,85;,46;,39;,97;,78;,54;-,009;-,095;-,103;7,63;1,01;2,16;2,32
12470;1;2,18;6;,85;,46;,4;,95;,78;,55;,046;-,037;-,055;1,12;1,06;2,18;2,3
12437;0;2,24;2,92;,85;,44;,39;,95;,78;,54;-,085;-,062;-,08;1;,92;2,18;2,28
12286;1;2,11;170,4;,85;,44;,4;,94;,76;,55;,109;-,005;-,024;,09;1,08;2,06;2,3
12150;1;2,01;184,14;,8;,42;,39;,89;,69;,48;,129;,095;,005;,5;1,69;2;2,18
12106;1;2,12;2;,8;,4;,39;,77;,53;,41;,066;,038;-,024;1,31;,45;2,02;2,12
11959;1;2,1;7,28;,8;,38;,38;,87;,53;,4;,095;,076;-,019;1,55;1,89;2,1;2,18
11815;1;2,1;6,36;,8;,36;,37;,88;,49;,4;,105;,076;-,048;2,76;1,04;2,1;2,16
11812;1;2,1;6,36;,75;,36;,36;,83;,51;,39;,095;,048;-,029;,38;1,31;2,1;2,16
11809;1;2,1;6,36;,7;,34;,35;,81;,49;,39;,057;,067;-,029;1,04;1;2,1;2,16
11806;1;2,1;6,36;,65;,32;,34;,81;,47;,38;,076;,048;-,029;1,05;1;2,1;2,16
11803;1;2,1;6,36;,6;,32;,34;,79;,47;,38;,076;,076;-,038;1,05;1;2,1;2,16
11800;1;2,1;6,36;,55;,3;,33;,78;,46;,38;,052;,076;-,038;1,05;,98;2,1;2,2
11797;1;2,1;6,36;,55;,3;,32;,79;,46;,37;,038;-,019;-,029;1,05;1;2,1;2,2
11794;1;2,1;6,36;,5;,28;,31;,77;,45;,36;,038;,095;-,029;1,06;1;2,1;2,2
11791;1;2,1;6,36;,5;,26;,3;,77;,44;,36;,029;,095;-,029;1,06;1;2,1;2,2
11787;1;2,1;6,36;,45;,26;,29;,76;,45;,35;,029;,114;-,029;1,06;1;2,1;2,2
11739;1;2,1;17,34;,4;,26;,28;,75;,45;,34;,029;,086;-,029;1,21;1;2,1;2,2
11683;1;2,1;3,24;,35;,24;,27;,72;,44;,33;,029;,095;-,029;1,03;,99;2,1;2,18
11410;0;2,18;9,72;,3;,22;,26;,71;,43;,33;-,018;,064;-,064;1,14;1,34;2,1;2,18
11241;0;2,12;10;,3;,22;,26;,73;,43;,33;,094;,099;-,028;1,13;1,07;2,12;2,18
11241;1;2,12;10;,3;,24;,26;,75;,45;,33;,028;,085;-,028;,22;,8;2,1;2,12
11120;0;2,18;11,86;,25;,22;,25;,73;,43;,33;,028;,055;-,064;1,6;1,89;2,12;2,22
10961;0;2,22;2,98;,25;,22;,25;,76;,44;,33;-,05;,054;-,072;,63;,23;2,12;2,24
10867;1;2,22;10,02;,25;,24;,25;,7;,45;,33;-,095;,054;-,09;1,08;,25;2,12;2,22
10828;1;2,12;127,58;,2;,24;,24;,64;,44;,32;0;,104;-,047;,92;,57;2,1;2,12
10826;1;2,1;10,94;,15;,24;,24;,21;,26;,26;0;,095;-,038;1,04;1,02;2,1;2,12
10825;0;2,12;12,76;,1;,24;,23;,14;,25;,25;-,009;,085;-,08;1,15;1,03;2,1;2,12
10824;0;2,12;6,64;,1;,24;,23;,13;,26;,25;-,009;,085;-,028;1;1,01;2,1;2,12
10807;0;2,12;,2;,1;,24;,24;,14;,26;,26;-,009;,085;-,028;2,21;,97;2,1;2,12
10795;0;2,12;2;,1;,24;,24;,13;,26;,26;-,009;,085;-,009;1;1;2,1;2,12
10781;0;2,12;2;,1;,26;,24;,13;,29;,26;-,009;,075;-,009;1;1;2,1;2,12
10773;1;2,1;11,72;,1;,28;,25;,13;,31;,27;0;-,024;-,01;1,12;1;2,1;2,12
10771;0;2,12;2,82;,05;,28;,24;,04;,32;,26;-,009;,104;-,019;1;1,01;2,1;2,12
10767;1;2,1;6,18;,05;,28;,25;,04;,32;,26;0;,081;-,01;,8;1;2,08;2,12
10766;0;2,12;1,89;0;,26;,25;0;,3;,27;-,009;,066;-,009;1;1,01;2,08;2,12
10753;0;2,12;3,88;0;,28;,25;0;,31;,27;-,009;,085;-,028;1,03;1,01;2,1;2,12
10734;0;2,12;2;0;,28;,25;0;,31;,27;-,009;,094;-,038;1;1;2,1;2,12
10721;0;2,12;2;,05;,28;,26;,09;,31;,27;-,009;,085;-,033;1;1;2,1;2,12
10711;0;2,12;3,88;,05;,28;,26;,09;,31;,27;,028;,047;-,019;1;1,01;2,1;2,12
10705;0;2,12;3,88;,05;,28;,27;,08;,2;,28;0;,066;-,047;1;1,01;2,1;2,12
10631;0;2,12;2,91;,1;,3;,27;,12;,22;,27;0;,066;-,028;1;1,01;2,1;2,12
10590;0;2,12;3,16;,1;,3;,27;,12;,22;,27;,028;,042;-,019;1;1,01;2,1;2,12
10589;0;2,12;22,3;,15;,3;,28;,13;,22;,3;,047;,028;-,019;,81;1,1;2,1;2,12
10588;0;2,12;15,44;,15;,3;,29;,15;,22;,31;,047;,028;-,019;1;1,04;2,1;2,12
10572;0;2,12;20,29;,15;,3;,3;,15;,23;,32;0;,019;-,019;,99;1,11;2,1;2,12
10561;0;2,12;3,88;,2;,3;,3;,21;,23;,32;-,009;,019;-,009;1;1,01;2,1;2,12
10528;0;2,12;15,92;,25;,32;,3;,26;,24;,32;0;,019;-,009;1,13;1,04;2,1;2,12
10525;0;2,12;3,88;,25;,32;,31;,28;,24;,36;0;,019;-,009;1;1,01;2,1;2,12
10480;0;2,12;5;,25;,32;,31;,28;,24;,36;0;,009;-,009;1;1,01;2,1;2,12
10470;0;2,12;3,88;,25;,32;,32;,28;,24;,37;0;,094;-,009;1;1,01;2,1;2,12
10315;0;2,12;2;,3;,34;,32;,32;,25;,37;0;,028;-,009;1;1,01;2,1;2,12
10292;0;2,12;21,39;,3;,34;,33;,31;,25;,37;-,009;,057;-,009;1;1,05;2,1;2,2
10063;0;2,18;9;,3;,36;,34;,34;,27;,45;-,028;-,032;-,037;,58;,99;2,12;2,18
9929;0;2,2;27,44;,35;,36;,34;,37;,27;,45;-,045;-,086;0;1;1,08;2,12;2,2
9675;0;2,2;3;,4;,38;,35;,45;,3;,46;-,036;-,036;0;,85;,98;2,12;2,2
9608;0;2,21;29,03;,45;,38;,36;,46;,3;,46;-,041;-,05;,023;,95;1,06;2,12;2,22
9607;1;2,18;20,19;,5;,38;,37;,57;,31;,48;-,028;-,037;,037;1;1;2,12;2,22
9558;0;2,2;9,77;,45;,36;,37;,46;,28;,47;-,036;-,045;0;,96;,93;2,12;2,2
9313;0;2,2;20;,45;,36;,38;,49;,29;,48;-,036;-,045;,018;1,14;1,07;2,14;2,2
9228;1;2,17;10;,45;,36;,39;,58;,3;,49;-,023;-,032;,014;,93;1;2,14;2,2
9121;0;2,16;1,84;,45;,36;,39;,6;,29;,49;-,019;-,028;,046;1,99;,97;2,16;2,2
9121;1;2,16;3,16;,5;,36;,39;,64;,29;,49;-,019;-,028;,046;,49;1;2,14;2,16
9017;0;2,2;2;,5;,34;,39;,68;,27;,49;-,036;-,045;-,064;1,93;1;2,16;2,2
8973;0;2,22;3,57;,5;,34;,4;,67;,27;,5;-,045;-,054;,036;2,41;1,02;2,18;2,22
8967;1;2,18;9,72;,5;,34;,4;,64;,27;,5;-,028;-,037;,055;,84;1,02;2,18;2,22
8955;0;2,18;2;,45;,3;,4;,57;,24;,5;-,028;-,037;,073;,99;,97;2,16;2,18
8955;1;2,16;13,38;,5;,32;,4;,63;,26;,5;-,019;-,028;,056;1,23;1;2,16;2,18
8948;0;2,18;2;,45;,3;,41;,57;,24;,5;-,028;-,037;,055;,71;1,01;2,16;2,18
8821;0;2,18;5,42;,45;,3;,41;,54;,23;,5;-,028;0;,064;,79;,99;2,16;2,18
8807;1;2,16;10;,45;,3;,42;,21;,23;,51;-,019;-,019;,079;1,11;1,01;2,16;2,18
8714;0;2,18;9,86;,45;,28;,42;,22;,22;,51;-,028;-,028;,055;,94;1,03;2,16;2,18
8709;0;2,18;5,59;,45;,28;,42;,22;,22;,51;-,028;0;,055;1;,99;2,16;2,2
8692;1;2,16;5;,45;,28;,42;,22;,22;,51;,009;,028;,083;1,05;,98;2,16;2,22
8396;1;2,2;5;,4;,26;,42;,21;,21;,51;0;,009;,064;,91;,99;2,18;2,22
8395;1;2,2;,05;,35;,24;,41;,2;,2;,5;0;-,036;,064;1;1;2,18;2,22
8383;1;2,18;6;,3;,24;,41;,19;,26;,51;,014;-,037;,055;1;1;2,18;2,22
