29055;1;2,64;12;,65;,46;,53;,2;,4;,56;,076;,08;,231;;;2,64;2,8
28946;1;2,61;7,18;,65;,44;,53;,21;,38;,56;,088;,096;,36;,78;1,37;2,56;2,78
28945;1;2,6;,56;,65;,42;,53;,2;,37;,56;,092;,108;,25;1,01;,89;2,56;2,6
28941;0;2,6;5,44;,6;,42;,52;,19;,38;,56;,092;,108;,242;,96;,65;2,56;2,78
28890;1;2,58;2,76;,6;,42;,53;,2;,37;,56;,093;,124;,24;1,27;,15;2,58;2,66
28658;0;2,68;14,22;,6;,42;,52;,19;,39;,56;,052;,075;,157;4,4;,96;2,62;2,7
28647;1;2,62;5,78;,6;,44;,53;,2;,4;,57;,073;,099;,183;,23;1;2,6;2,7
28432;0;2,7;9,86;,55;,42;,53;,18;,39;,57;,03;,067;,148;4,6;,91;2,6;2,7
28246;1;2,62;1,99;,6;,42;,53;,34;,4;,57;,053;,099;,183;,85;1;2,6;2,7
28145;0;2,7;103,77;,55;,4;,53;,32;,4;,57;-,007;,067;,167;,89;1,63;2,62;2,7
27885;1;2,68;10;,55;,4;,54;,46;,49;,64;,052;,075;,157;3,39;1,12;2,68;2,7
27694;0;2,7;107,19;,55;,4;,54;,45;,48;,63;-,015;,067;,148;1;2,25;2,68;2,74
27693;1;2,68;2,67;,6;,42;,55;,82;,64;,72;-,007;,075;,138;,96;1,54;2,66;2,74
27584;0;2,94;,69;,55;,42;,55;,81;,64;,72;-,116;-,027;,085;,37;1,51;2,7;2,74
27584;1;2,69;,53;,55;,44;,55;,79;,65;,72;-,03;,071;,245;1;1;2,7;2,74
27308;1;2,7;3,6;,5;,44;,54;,75;,65;,72;-,015;,067;,237;1,11;,92;2,7;2,74
27298;1;2,7;3,6;,45;,44;,54;,74;,65;,72;-,015;,067;,167;1,04;1;2,68;2,74
27292;1;2,7;,28;,45;,44;,54;,74;,64;,72;-,022;,067;,167;1,02;4,92;2,68;2,7
27045;1;2,7;7,73;,4;,44;,54;,74;,65;,72;-,022;,074;,115;,9;,23;2,68;2,74
26983;0;2,7;,27;,35;,44;,54;,7;,64;,72;-,022;,074;,111;,96;1,01;2,7;2,74
26899;1;2,68;18,69;,35;,46;,55;,68;,64;,72;-,015;,09;,09;1,67;2,81;2,6;2,68
26622;1;2,6;,76;,3;,46;,54;,61;,62;,71;,004;,115;,123;,15;1;2,6;2,66
