998;1;7,4;3;212,3;109,47;7,4;7,6
992;1;7,4;8;209,69;109,47;7,4;7,6
99;1;7,6;2,52;271,6;397,5;7,6;7,8
991;1;7,4;5;204,69;111,07;7,4;7,6
99;0;7,6;9,36;278,57;430,02;7,6;7,8
987;1;7,4;15;209,02;111,07;7,4;7,6
9842;1;7,2;,25;117,26;119,02;7,2;7,4
983;1;7,4;1,6;211,63;126,33;7,4;7,6
98;1;7,6;2,5;289,94;374,42;7,6;7,8
98;0;7,8;62,27;289,94;350,23;7,6;7,8
980;1;7,4;10;234,96;107,47;7,4;7,6
9775;1;7,2;2,5;114,76;119,02;7,2;7,4
973;1;7,4;5;249,91;107,47;7,4;7,6
970;0;7,6;2;291,59;105,47;7,4;7,6
969;0;7,6;13,35;277,87;92,12;7,4;7,6
968;0;7,6;13,47;292,54;78,65;7,4;7,6
9661;1;7,2;9,8;173,34;127,9;7;7,2
9660;0;7,2;5;173,34;122,9;7;7,2
9653;0;7,2;19,61;186,71;101,01;7;7,4
9649;1;7,2;,25;115,7;117,03;7,2;7,4
9644;0;7,4;13,91;115,7;89,21;7,2;7,4
9623;1;7,2;,25;131,7;72,66;7,2;7,4
96;1;7,6;2,5;308,78;362,23;7,6;7,8
961;1;7,4;4;298,74;78,65;7,4;7,6
9607;1;7,2;,25;134,09;74,66;7,2;7,4
9594;1;7,2;,25;133,84;74,66;7,2;7,4
959;0;7,6;8,01;298,74;70,64;7,4;7,6
9589;1;7,2;,25;133,59;74,66;7,2;7,4
9528;1;7,2;,25;135,72;74,66;7,2;7,4
95;1;7,49;181,89;298,99;191,18;7,2;7,8
95;0;7,6;63,9;263,26;233,29;7,4;7,8
949;0;7,6;3,81;262,5;90,5;7,6;7,8
942;1;7,6;30;229,67;90,5;7,6;7,8
94;1;7,2;1,39;347,87;209,17;7,2;7,4
94;0;7,4;17,16;344,64;202,65;7,2;7,4
937;1;7,6;3;199,95;108,99;7,6;7,8
9359;1;7,2;,25;135,47;79,66;7,2;7,4
932;1;7,6;6,39;202,61;110,78;7,6;7,8
93;0;7,4;56,41;215,56;216,46;7,2;7,6
930;1;7,6;,02;212,77;110,78;7,6;7,8
927;0;7,8;6,01;246,54;86,29;7,6;7,8
926;0;7,8;22,12;246,54;76,88;7,6;7,8
925;1;7,6;7;239,54;76,88;7,6;7,8
9233;0;7,4;,29;137,08;79,08;7,2;7,4
9232;0;7,4;,89;137,08;77,31;7,2;7,4
923;1;7,6;9;235,66;105,69;7,6;7,8
923;0;7,8;24,26;235,66;81,44;7,6;7,8
9226;1;7,2;,25;139,17;77,31;7,2;7,4
9222;0;7,4;6,39;139,17;69,06;7,2;7,4
922;0;7,8;2;247,4;60,97;7,6;7,8
92;1;7,4;20,24;334,35;219,31;7,2;7,6
9209;1;7,2;,25;142,55;64,43;7,2;7,4
9197;1;7,2;,25;144,95;64,43;7,2;7,4
9178;0;7,4;22,84;144,95;36,59;7,2;7,4
9;1;7,4;10,91;936,94;427,18;7,4;7,6
9173;0;7,4;6,37;161,77;28,5;7,4;7,6
9167;1;7,4;,39;177,2;30,67;7,4;7,6
9143;0;7,6;1,82;114,68;27,02;7,4;7,6
9112;1;7,4;,39;109,89;31,76;7,4;7,6
911;1;7,6;7;240,08;55,75;7,6;7,8
91;0;7,4;15;336,35;465,49;7,2;7,4
9;0;7,6;60,22;935,3;406,79;7,4;7,6
90;1;7,2;7,1;340,95;453,16;7,2;7,4
89;1;7,2;125,87;310,35;456,61;7;7,4
8907;1;7,4;,78;113,68;39,01;7,4;7,6
8896;1;7,4;,78;112,9;39,01;7,4;7,6
8872;1;7,4;,78;112,12;39,01;7,4;7,6
88;1;7,2;21,19;453,06;415,27;7;7,2
88;0;7,2;13,03;294,99;321,66;7;7,4
8776;1;7,4;,78;114,44;39,01;7,4;7,6
876;0;7,8;2;265,52;96,47;7,6;7,8
