996;1;5,2;1,06;84,85;113,09;5,2;5,3
990;1;5,2;,92;86,22;113,09;5,2;5,3
987;1;5,2;10,01;76,21;113,09;5,2;5,3
984;1;5,2;,47;75,75;123,14;5,2;5,3
98;1;4,96;113,76;494,15;351,36;4,9;5,1
98;0;5;119,98;537,09;351,73;4,9;5,1
97;1;5;9,47;415,2;356,69;5;5,1
97;0;5,01;18,93;372,68;351,36;5;5,1
970;1;5,2;14;68,74;123,14;5,2;5,3
96;1;5;9,79;408,44;336,58;5;5,1
94;1;5;6,79;439,25;340,97;5;5,1
939;0;5,3;3,5;85,72;117,64;5,2;5,3
9379;0;5;1,6;35,49;71,13;4,8;5
933;0;5,3;3;95,95;114,64;5,2;5,3
924;1;5,2;,83;95,12;114,64;5,2;5,3
9219;1;4,9;,04;35,49;71,9;4,8;4,9
92;1;5;8;462,03;338,17;5;5,1
92;0;5,1;122,58;462,03;278,49;5;5,2
9195;0;4,9;,04;42,14;77,86;4,8;4,9
9159;0;4,9;,04;42,14;77,82;4,8;4,9
9;1;5,7;4,15;708,88;231,99;5,7;5,9
9147;0;4,9;,04;42,14;77,78;4,8;4,9
9092;0;4,9;2,52;77,4;66,87;4,8;4,9
9091;1;4,9;6;85,39;100,53;4,9;5
9091;0;4,9;11,34;91,39;100,53;4,9;5
9081;0;5;5,63;58,13;89,27;4,9;5
9068;0;5;1;66,57;48,98;4,9;5
9064;0;5;,64;66,57;47,7;4,9;5
906;1;5,2;8;76,89;123,64;5,2;5,3
9;0;5,8;19,7;722,43;231,99;5,7;5,8
90;1;5,1;29;392,24;264,94;5,1;5,2
8994;0;5;,11;66,57;47,48;4,9;5
8930;0;5;30,16;66,57;17,32;4,9;5
89;1;5,1;79,03;448,12;240,13;5;5,2
8902;1;5;5,26;51,38;46,88;5;5,3
8884;0;5,2;1,76;48,06;45;5;5,3
8864;1;5,12;4,53;62,4;11,82;5,1;5,3
8858;0;5,3;2,4;19,76;10,62;5,2;5,5
8848;1;5,3;,23;22,1;11,06;5,3;5,4
88;1;5;45;462,54;332,6;5;5,1
87;1;5;85,24;577,18;230,13;4,9;5
871;1;5,2;10,01;78,51;143,61;5,2;5,3
87;0;5;15,44;617,57;242,69;4,9;5
865;1;5,2;2;76,7;143,61;5,2;5,3
85;0;5;158,25;516,67;330,57;4,9;5,1
84;1;5;2;406,4;351,77;5;5,1
838;0;5,3;,12;76,7;143,49;5,2;5,3
83;1;5,1;16,21;405,23;270,13;5;5,2
83;0;5,1;19,81;440,14;270,13;5,1;5,2
82;1;5,1;22,34;422,27;257,41;5,1;5,2
8;1;5,7;88,44;690,58;296,92;5,6;5,8
8137;1;5,1;3,57;57,25;19,31;5,1;5,3
81;1;5,1;32,29;530,32;245,25;5,1;5,2
8;0;5,7;20;807,82;322,03;5,6;5,7
8033;1;5,1;7,64;58,05;29,72;5;5,1
8033;0;5,1;4;58,05;16,65;5;5,1
8030;0;5,1;6,15;58,05;10,63;5;5,1
8023;0;5,1;1,6;58,05;9,03;5;5,1
80;1;5,1;35,4;579,61;272,82;5,1;5,2
7993;0;5,1;2,98;100,37;8;5,1;5,3
7939;1;5,1;,16;57,02;18,75;5,1;5,2
79;1;5,1;2,55;583,65;277,31;5,1;5,2
78;1;5,1;8,75;597,38;277,21;5,1;5,2
781;1;5,2;19,74;89,05;160,17;5,2;5,3
78;0;5,2;,1;586,73;277,21;5,1;5,2
779;1;5,2;24,34;90,96;147,48;5,1;5,3
77;1;5,1;2;595,38;277,21;5,1;5,2
767;1;5,1;23,04;126,28;120,53;5;5,2
767;0;5,1;7;122,56;109,78;5;5,1
766;1;5;4,51;130,67;129;5;5,1
7658;0;5,1;,16;62,05;18,75;5;5,2
76;1;5,1;7;598,32;226,13;5,1;5,2
76;0;5,2;44,75;605,32;232,46;5,1;5,2
75;1;5,27;27,47;347,05;102,85;5,2;5,4
75;0;5,26;137,12;351,26;109,85;5,2;5,4
7480;1;5;12;75,55;29,6;4,9;5,2
74;1;5,3;33;294,29;47,77;5,3;5,5
74;0;5,4;48,46;294,29;47,77;5,3;5,5
737;1;5;12,9;150,55;129,12;4,9;5
73;1;5,5;2,45;440,54;90,79;5,5;5,6
73;0;5,54;82,55;329,72;60,31;5,4;5,7
7280;1;5;2;57,75;29,6;5;5,2
727;0;5;2;163,14;169,1;4,9;5
72;1;5,69;120,48;368,75;70,75;5,6;5,8
7209;0;5,1;,16;57,75;29,28;5;5,2
72;0;5,7;35,29;365,58;63,99;5,6;5,8
7;1;5,6;12;793,44;300,18;5,6;5,7
71;1;5,62;158,19;387,76;77,22;5,6;5,7
71;0;5,7;29,96;396,22;77,22;5,6;5,7
708;0;5;6,97;224,58;147,37;4,9;5
707;0;5;4,16;224,58;143,21;4,9;5
7;0;5,7;21,97;793,44;300,18;5,6;5,7
702;1;4,9;2,84;192,88;163,23;4,9;5
7021;1;5;6;51,75;29,28;5;5,2
70;1;5,6;10,35;369,43;117,11;5,6;5,7
696;0;5;4,16;192,88;159,06;4,9;5
69;1;5,6;15;432,52;119,87;5,6;5,7
69;0;5,7;1,05;435,81;118,82;5,6;5,7
690;1;4,9;,14;192,74;143,04;4,9;5
682;0;5;5,88;210,61;137,16;4,9;5
681;1;5;9,66;159,82;133,09;5;5,1
681;0;5;30,75;169,48;133,09;5;5,1
68;0;5,7;25,81;298,44;134,23;5,6;5,8
680;0;5,1;42,15;159,82;110,04;5;5,1
678;0;5,1;16,84;180,41;139,68;5,1;5,2
