99;1;2,7;20;894,79;396,79;2,68;2,7
99;0;2,71;71,32;450,53;467,88;2,7;2,72
98;1;2,71;228,94;313,47;311,84;2,68;2,74
98;0;2,72;164,31;280,7;312,86;2,72;2,74
973;0;2,56;2;151,88;30,78;2,54;2,56
972;1;2,54;3,85;148,03;30,78;2,54;2,56
97;1;2,72;133,21;364,18;277,84;2,72;2,74
971;1;2,54;3,88;153,86;61,06;2,54;2,56
969;1;2,52;10;158,35;57,16;2,52;2,56
96;1;2,72;264;270,89;198,71;2,7;2,74
961;1;2,52;6,61;151,74;61,91;2,52;2,56
96;0;2,74;100,82;270,89;198,71;2,7;2,74
958;1;2,52;31,72;131,1;61,91;2,5;2,56
957;1;2,5;15,91;100,67;43,96;2,5;2,56
95;1;2,7;2;374,48;184,95;2,7;2,72
95;0;2,72;61,18;276,48;206;2,7;2,74
950;1;2,52;5;80,55;44,32;2,5;2,56
943;0;2,52;11,58;108,23;115,11;2,5;2,54
94;1;2,69;276,88;307,28;184,95;2,66;2,72
94;0;2,7;306,12;359,65;311,23;2,68;2,72
93;1;2,69;432,31;140,77;145,77;2,66;2,72
93;0;2,72;75,39;104,82;283,82;2,7;2,74
928;0;2,52;,76;98,33;135,68;2,5;2,54
926;1;2,52;4,47;98,33;136,06;2,5;2,54
922;0;2,52;2;131,65;135,68;2,52;2,54
9220;0;2,5;1,42;4,67;72,3;2,48;2,5
92;0;2,68;27,16;300,04;181,75;2,66;2,68
920;1;2,52;,38;131,27;135,68;2,52;2,54
9;1;2,42;75,42;1223,87;779,09;2,42;2,44
91;1;2,69;135,81;203,41;276,46;2,66;2,68
91;0;2,7;289,38;140,21;289,93;2,66;2,72
9;0;2,44;3,74;1259,3;834,28;2,42;2,44
90;1;2,66;15,84;563,77;398,84;2,64;2,66
90;0;2,67;113,99;205,82;320,41;2,64;2,7
892;0;2,54;5;175,84;154,97;2,52;2,54
89;1;2,66;11,2;209,2;415,9;2,66;2,68
89;0;2,66;169,99;185,4;209,79;2,64;2,68
887;0;2,54;,04;177,84;144,72;2,52;2,54
883;0;2,54;6;177,84;138,71;2,52;2,54
8818;0;2,5;2,84;4,67;69,46;2,48;2,5
881;0;2,54;59,82;202,57;79,62;2,52;2,54
88;0;2,68;1,05;460,01;409,93;2,64;2,68
880;0;2,54;23,47;179,48;62,93;2,52;2,56
873;0;2,56;34,2;190,44;50,78;2,54;2,58
872;1;2,56;5;147,45;36,24;2,56;2,58
87;1;2,64;112,74;548,57;266,05;2,62;2,64
87;0;2,64;40,63;464,95;225,83;2,62;2,66
8659;0;2,5;3,96;4,67;58,55;2,48;2,64
865;1;2,56;9,57;358,41;50,61;2,54;2,58
86;1;2,62;59,8;1416,36;285,33;2,6;2,62
86;0;2,62;11,41;1410,78;273,92;2,6;2,62
85;0;2,62;10,28;1227,44;332,43;2,6;2,62
848;1;2,56;23,65;393,03;50,04;2,54;2,6
84;1;2,6;148,1;1117,43;314,07;2,6;2,62
83;1;2,6;21,59;1106,94;310;2,6;2,62
83;0;2,62;,02;1119,42;310;2,6;2,62
82;1;2,6;131,32;1127,07;381,8;2,58;2,62
8179;0;2,62;,86;4,48;54,89;2,6;2,62
8174;1;2,6;1,17;5,47;133,72;2,58;2,64
814;1;2,62;2;190,64;39,96;2,6;2,62
8;1;2,42;2,08;1133;798,3;2,42;2,44
81;1;2,58;130,56;1126,39;307,62;2,56;2,6
81;0;2,58;18,51;1105,71;463,23;2,58;2,6
810;0;2,62;2;154,64;42,71;2,6;2,62
8082;0;2,6;,72;94,28;133;2,58;2,64
8080;0;2,64;2;116,07;228,81;2,58;2,7
8;0;2,44;51,94;1133;778,37;2,42;2,44
80;1;2,56;24,68;1050,2;483,11;2,58;2,6
80;0;2,59;114,11;1052,18;404,21;2,56;2,6
795;0;2,62;2;202,29;36,31;2,6;2,62
79;1;2,58;113,46;1093,87;344,14;2,56;2,6
79;0;2,59;17,23;1018,43;334,01;2,56;2,6
784;0;2,64;10,8;116,5;22,94;2,6;2,66
783;1;2,64;3,73;191,63;29,54;2,62;2,64
78;0;2,58;5,38;1184,92;323,7;2,56;2,6
778;0;2,64;4;209,03;75,62;2,62;2,64
775;1;2,62;28,58;180,45;75,62;2,62;2,64
76;1;2,58;129,65;1109,11;406,45;2,58;2,6
76;0;2,6;4,69;1083,06;401,76;2,58;2,6
75;1;2,58;2;1106,06;442,66;2,58;2,6
75;0;2,6;5;1106,06;440,66;2,58;2,6
74;1;2,58;223,25;1080,96;440,66;2,56;2,6
7354;1;2,58;10;126,44;73,54;2,56;2,58
7354;0;2,58;11,15;126,44;62,39;2,56;2,58
7352;0;2,58;3,85;87,1;138,54;2,56;2,7
73;0;2,6;2;1202,11;424,66;2,58;2,6
72;1;2,58;172,58;1070,69;407,67;2,58;2,6
7195;1;2,58;8,09;87,1;66,62;2,56;2,7
7194;1;2,56;8,2;78,9;138,54;2,56;2,7
718;0;2,62;2;346,93;62,38;2,6;2,62
717;1;2,62;1,03;190,46;62,91;2,62;2,64
714;0;2,62;2;159,09;62,91;2,62;2,64
713;1;2,62;5,04;148,89;62,91;2,6;2,64
7;1;2,42;44,54;1224,4;757,34;2,42;2,44
71;1;2,58;44,03;1236,74;329,43;2,56;2,58
71;0;2,58;28,35;1272,25;346,48;2,56;2,58
706;1;2,64;2,77;143,8;105,55;2,64;2,66
706;0;2,64;36,63;179,81;105,88;2,62;2,66
7;0;2,44;47,6;1224,4;757,34;2,42;2,44
70;1;2,56;60;1079,96;411,48;2,56;2,58
70;0;2,58;5;1272,25;411,48;2,56;2,58
6920;1;2,62;2,25;16,22;67,63;2,6;2,62
69;1;2,56;25;1093,72;434,93;2,56;2,58
69;0;2,58;14,79;1118,72;434,93;2,56;2,58
6899;0;2,62;2,02;16,22;144,91;2,6;2,68
689;0;2,66;5,98;162,85;104,77;2,64;2,66
6849;1;2,57;16,24;55,01;66,18;2,54;2,56
6844;0;2,56;1,63;9,02;55,29;2,56;2,66
